assignment_id,class_id,title,due_date,points_possible,category
A_376991,1,Homework: Homeroom Week 36,2015-09-05,10,Homework
A_928d75,1,Test: Homeroom Week 37,2015-09-10,100,Test
A_dbec8d,1,Quiz: Homeroom Week 38,2015-09-17,20,Quiz
A_351b99,1,Quiz: Homeroom Week 39,2015-09-22,20,Quiz
A_27a025,1,Test: Homeroom Week 40,2015-09-30,100,Test
A_b32d0f,1,Test: Homeroom Week 40,2015-09-29,100,Test
A_4097ec,1,Test: Homeroom Week 41,2015-10-09,100,Test
A_51628b,1,Test: Homeroom Week 42,2015-10-13,100,Test
A_a52532,1,Quiz: Homeroom Week 43,2015-10-21,20,Quiz
A_0f5354,1,Quiz: Homeroom Week 43,2015-10-21,20,Quiz
A_088bdd,1,Test: Homeroom Week 44,2015-10-31,100,Test
A_74e858,1,Test: Homeroom Week 44,2015-10-31,100,Test
A_d5f28e,1,Test: Homeroom Week 45,2015-11-07,100,Test
A_bbeda6,1,Quiz: Homeroom Week 45,2015-11-04,20,Quiz
A_50aff2,1,Quiz: Homeroom Week 46,2015-11-10,20,Quiz
A_9c11d5,1,Homework: Homeroom Week 47,2015-11-18,10,Homework
A_222f91,1,Homework: Homeroom Week 47,2015-11-20,10,Homework
A_e14dd6,1,Homework: Homeroom Week 48,2015-11-26,10,Homework
A_411047,1,Homework: Homeroom Week 49,2015-12-01,10,Homework
A_2ddd6b,1,Homework: Homeroom Week 49,2015-12-02,10,Homework
A_f7d8a3,1,Test: Homeroom Week 50,2015-12-12,100,Test
A_16522f,1,Homework: Homeroom Week 51,2015-12-16,10,Homework
A_463bfc,1,Test: Homeroom Week 51,2015-12-17,100,Test
A_f666d4,1,Test: Homeroom Week 52,2015-12-23,100,Test
A_1ceb1b,1,Homework: Homeroom Week 53,2016-01-02,10,Homework
A_ac7e2d,1,Homework: Homeroom Week 1,2016-01-08,10,Homework
A_441c9c,1,Test: Homeroom Week 2,2016-01-13,100,Test
A_d1bf63,1,Quiz: Homeroom Week 3,2016-01-21,20,Quiz
A_1d4241,1,Quiz: Homeroom Week 3,2016-01-22,20,Quiz
A_fe6f1d,1,Quiz: Homeroom Week 4,2016-01-26,20,Quiz
A_ed1a1e,1,Homework: Homeroom Week 4,2016-01-30,10,Homework
A_a019d8,1,Test: Homeroom Week 5,2016-02-03,100,Test
A_4b900c,1,Test: Homeroom Week 6,2016-02-12,100,Test
A_4b360f,1,Quiz: Homeroom Week 6,2016-02-11,20,Quiz
A_374824,1,Test: Homeroom Week 7,2016-02-16,100,Test
A_7b10bc,1,Homework: Homeroom Week 8,2016-02-27,10,Homework
A_45ba8e,1,Test: Homeroom Week 9,2016-03-05,100,Test
A_2b2971,1,Quiz: Homeroom Week 9,2016-03-03,20,Quiz
A_5a52e9,1,Quiz: Homeroom Week 10,2016-03-10,20,Quiz
A_50bbe5,1,Test: Homeroom Week 10,2016-03-10,100,Test
A_73d969,1,Quiz: Homeroom Week 11,2016-03-16,20,Quiz
A_993b98,1,Quiz: Homeroom Week 12,2016-03-26,20,Quiz
A_eb56b7,1,Homework: Homeroom Week 13,2016-03-30,10,Homework
A_4f9ca1,1,Test: Homeroom Week 13,2016-03-30,100,Test
A_41bf16,1,Test: Homeroom Week 14,2016-04-05,100,Test
A_423109,1,Quiz: Homeroom Week 14,2016-04-09,20,Quiz
A_66675f,1,Quiz: Homeroom Week 15,2016-04-14,20,Quiz
A_6ca851,1,Homework: Homeroom Week 15,2016-04-16,10,Homework
A_c8896b,1,Quiz: Homeroom Week 16,2016-04-22,20,Quiz
A_b18503,1,Test: Homeroom Week 16,2016-04-21,100,Test
A_2f1063,1,Test: Homeroom Week 17,2016-04-29,100,Test
A_1284a9,1,Homework: Homeroom Week 17,2016-04-30,10,Homework
A_10ac63,1,Quiz: Homeroom Week 18,2016-05-04,20,Quiz
A_3eed6a,1,Quiz: Homeroom Week 19,2016-05-14,20,Quiz
A_2a36cc,1,Homework: Homeroom Week 19,2016-05-13,10,Homework
A_be25d7,1,Test: Homeroom Week 20,2016-05-18,100,Test
A_0df01d,1,Test: Homeroom Week 21,2016-05-26,100,Test
A_152299,1,Test: Homeroom Week 21,2016-05-27,100,Test
A_91d28b,1,Quiz: Homeroom Week 22,2016-06-01,20,Quiz
A_547594,1,Homework: Homeroom Week 22,2016-06-02,10,Homework
A_27ec3b,1,Quiz: Homeroom Week 23,2016-06-10,20,Quiz
A_2e2d64,1,Homework: Homeroom Week 23,2016-06-10,10,Homework
A_e8c74c,1,Quiz: Homeroom Week 24,2016-06-15,20,Quiz
A_e44220,1,Test: Homeroom Week 24,2016-06-14,100,Test
A_1e3de6,2,Quiz: Homeroom Week 36,2015-09-01,20,Quiz
A_993c94,2,Test: Homeroom Week 37,2015-09-09,100,Test
A_e52cd0,2,Homework: Homeroom Week 37,2015-09-09,10,Homework
A_5e564e,2,Quiz: Homeroom Week 38,2015-09-15,20,Quiz
A_970cfc,2,Quiz: Homeroom Week 39,2015-09-26,20,Quiz
A_e0b997,2,Test: Homeroom Week 40,2015-10-01,100,Test
A_f58bd7,2,Homework: Homeroom Week 40,2015-10-03,10,Homework
A_7d34ae,2,Test: Homeroom Week 41,2015-10-07,100,Test
