attendance_id,student_id,date,status
A_bc0ecf,143,2015-08-24,Present
A_4a55e3,143,2015-08-25,Present
A_351496,143,2015-08-26,Present
A_b4dcbb,143,2015-08-27,Present
A_8e36e4,143,2015-08-28,Present
A_9d5328,143,2015-08-31,Present
A_f3b53d,143,2015-09-01,Present
A_f92a88,143,2015-09-02,Present
A_b439b6,143,2015-09-03,Present
A_e3b079,143,2015-09-04,Present
A_149b28,143,2015-09-08,Present
A_abeeaf,143,2015-09-09,Present
A_a74720,143,2015-09-10,Present
A_d7444f,143,2015-09-11,Present
A_3dbbc6,143,2015-09-14,Present
A_8afc32,143,2015-09-15,Present
A_c23a46,143,2015-09-16,Present
A_bdf7d1,143,2015-09-17,Present
A_c574cf,143,2015-09-18,Present
A_767533,143,2015-09-21,Present
A_2b6f33,143,2015-09-22,Present
A_2a9490,143,2015-09-23,Present
A_0c7d12,143,2015-09-24,Present
A_38a50f,143,2015-09-25,Present
A_412266,143,2015-09-28,Present
A_13b4c7,143,2015-09-29,Present
A_9845ee,143,2015-09-30,Present
A_2d50f2,143,2015-10-01,Present
A_fa777b,143,2015-10-02,Present
A_36113e,143,2015-10-05,Present
A_8d0617,143,2015-10-06,Present
A_1f0a16,143,2015-10-07,Tardy
A_8851ad,143,2015-10-08,Present
A_8422a2,143,2015-10-12,Present
A_23f5de,143,2015-10-13,Present
A_2b24ca,143,2015-10-14,Present
A_c84832,143,2015-10-15,Present
A_b1e3eb,143,2015-10-16,Present
A_5d5d4d,143,2015-10-19,Present
A_29f09f,143,2015-10-20,Present
A_75e13f,143,2015-10-21,Present
A_795606,143,2015-10-22,Present
A_fae85b,143,2015-10-23,Present
A_f07308,143,2015-10-26,Present
A_3fdcde,143,2015-10-27,Present
A_e9a8e6,143,2015-10-28,Present
A_77b920,143,2015-10-29,Present
A_e5faca,143,2015-10-30,Present
A_3decc0,143,2015-11-02,Present
A_925231,143,2015-11-03,Present
A_fb6a1e,143,2015-11-04,Present
A_e3eb7e,143,2015-11-05,Present
A_d52703,143,2015-11-06,Present
A_a5489a,143,2015-11-09,Present
A_aeb949,143,2015-11-10,Present
A_bf8b76,143,2015-11-11,Present
A_40f5a5,143,2015-11-12,Present
A_fbe96a,143,2015-11-13,Present
A_6bd5e9,143,2015-11-16,Present
A_ef1beb,143,2015-11-17,Present
A_71eb52,143,2015-11-18,Present
A_c8312a,143,2015-11-19,Present
A_93226f,143,2015-11-20,Present
A_140295,143,2015-11-23,Present
A_f294b8,143,2015-11-24,Present
A_3fe7b0,143,2015-11-25,Present
A_423e4b,143,2015-11-30,Present
A_561ace,143,2015-12-01,Present
A_8b091c,143,2015-12-02,Present
A_0727a2,143,2015-12-03,Present
A_dd648a,143,2015-12-04,Present
A_cd7350,143,2015-12-07,Present
A_deaa6c,143,2015-12-08,Present
A_28d965,143,2015-12-09,Present
A_2e2ce5,143,2015-12-10,Present
A_e201f7,143,2015-12-11,Present
A_f892b1,143,2015-12-14,Present
A_386fb2,143,2015-12-15,Present
A_fb211d,143,2015-12-16,Present
A_726475,143,2015-12-17,Present
A_cae325,143,2015-12-18,Present
A_53377c,143,2016-01-05,Present
A_ba8290,143,2016-01-06,Present
A_fc51a8,143,2016-01-07,Present
A_89cee4,143,2016-01-08,Present
A_ab3b00,143,2016-01-11,Tardy
A_119358,143,2016-01-12,Present
A_2c6084,143,2016-01-13,Present
A_6f0169,143,2016-01-14,Present
A_33da5d,143,2016-01-15,Present
A_69c1ca,143,2016-01-19,Present
A_3f506c,143,2016-01-20,Present
A_38353c,143,2016-01-21,Present
A_ed07fb,143,2016-01-22,Present
A_cdd7a4,143,2016-01-25,Tardy
A_8bb541,143,2016-01-26,Present
A_49d4b7,143,2016-01-27,Present
A_6e12db,143,2016-01-28,Present
A_ae8df2,143,2016-01-29,Present
A_8c8f1d,143,2016-02-01,Present
A_de47d2,143,2016-02-02,Present
A_7bca1b,143,2016-02-03,Present
A_b576fd,143,2016-02-04,Present
A_402a47,143,2016-02-05,Present
A_487c53,143,2016-02-08,Present
A_e18efb,143,2016-02-09,Present
A_95dccb,143,2016-02-10,Present
A_d269b2,143,2016-02-11,Present
A_9b073e,143,2016-02-12,Present
A_8c102a,143,2016-02-16,Present
A_7ca51b,143,2016-02-17,Present
A_20f978,143,2016-02-18,Present
A_a71c44,143,2016-02-19,Present
A_cc09c8,143,2016-02-22,Present
A_5b8378,143,2016-02-23,Present
A_c16e63,143,2016-02-24,Present
A_83f6ed,143,2016-02-25,Present
A_75af92,143,2016-02-26,Present
A_3c8d7e,143,2016-02-29,Present
A_055264,143,2016-03-01,Present
A_8c6d74,143,2016-03-02,Present
A_b03e64,143,2016-03-03,Present
A_4ffd87,143,2016-03-04,Present
A_a35b2a,143,2016-03-07,Present
A_4ba2d5,143,2016-03-08,Present
A_076bff,143,2016-03-09,Present
A_a39880,143,2016-03-10,Present
A_50dde2,143,2016-03-11,Present
A_2dc381,143,2016-03-14,Present
A_3f2654,143,2016-03-15,Present
A_7e502e,143,2016-03-16,Present
A_495779,143,2016-03-17,Present
A_4d6079,143,2016-03-18,Present
A_f42846,143,2016-03-21,Present
A_30119e,143,2016-03-22,Present
A_e9dc9d,143,2016-03-23,Present
A_70a078,143,2016-03-24,Present
A_b250e6,143,2016-03-25,Present
A_d3f2b2,143,2016-04-04,Present
A_8f6695,143,2016-04-05,Present
A_b1ba6d,143,2016-04-06,Present
A_6694bd,143,2016-04-07,Present
A_cb2d11,143,2016-04-08,Present
A_0682b7,143,2016-04-11,Present
A_c73c78,143,2016-04-12,Present
A_250c06,143,2016-04-13,Present
A_4bfce9,143,2016-04-14,Present
A_a98c0c,143,2016-04-15,Present
A_01c939,143,2016-04-18,Present
A_12b0b9,143,2016-04-19,Present
A_198b0d,143,2016-04-20,Present
A_b2fe43,143,2016-04-21,Present
A_91d13a,143,2016-04-22,Present
A_9eeb72,143,2016-04-25,Present
A_616911,143,2016-04-26,Present
A_e28343,143,2016-04-27,Present
A_dd959f,143,2016-04-28,Present
A_ae9c00,143,2016-04-29,Present
A_50b4f0,143,2016-05-02,Present
A_f092bb,143,2016-05-03,Present
A_a1ebcb,143,2016-05-04,Present
A_c1d612,143,2016-05-05,Present
A_2676a0,143,2016-05-06,Present
A_1e3ca5,143,2016-05-09,Present
A_70ec54,143,2016-05-10,Present
A_d1b362,143,2016-05-11,Present
A_4dc359,143,2016-05-12,Present
A_bf35a4,143,2016-05-13,Present
A_a6271a,143,2016-05-16,Present
A_989c90,143,2016-05-17,Present
A_361ace,143,2016-05-18,Present
A_0df0d8,143,2016-05-19,Tardy
A_72f272,143,2016-05-20,Present
A_5609e0,143,2016-05-23,Present
A_992eb3,143,2016-05-24,Present
A_193fce,143,2016-05-25,Present
A_e2abdc,143,2016-05-26,Present
A_7cb6fe,143,2016-05-27,Present
A_7a64ae,143,2016-05-31,Present
A_c00f8b,143,2016-06-01,Present
A_a6a3a2,143,2016-06-02,Present
A_b977c3,143,2016-06-03,Present
A_d013f3,143,2016-06-06,Present
A_557c04,143,2016-06-07,Present
A_d53090,143,2016-06-08,Present
A_0a1236,143,2016-06-09,Present
A_e8f866,298,2015-08-24,Present
A_222722,298,2015-08-25,Present
A_223748,298,2015-08-26,Present
A_aef4a4,298,2015-08-27,Present
A_e281c6,298,2015-08-28,Present
A_882e16,298,2015-08-31,Present
A_b2e19b,298,2015-09-01,Present
A_cd6eb4,298,2015-09-02,Present
A_0ddb37,298,2015-09-03,Present
A_1e3fff,298,2015-09-04,Present
A_239547,298,2015-09-08,Absent
A_323ec9,298,2015-09-09,Present
A_c171f4,298,2015-09-10,Present
A_99c532,298,2015-09-11,Present
A_22954d,298,2015-09-14,Present
A_35e22c,298,2015-09-15,Present
A_aea833,298,2015-09-16,Present
A_560564,298,2015-09-17,Present
A_4d4961,298,2015-09-18,Present
A_b227a4,298,2015-09-21,Present
A_a63050,298,2015-09-22,Present
A_861775,298,2015-09-23,Present
A_810b4e,298,2015-09-24,Present
A_94b8d0,298,2015-09-25,Tardy
A_e370c5,298,2015-09-28,Present
A_a1cc5b,298,2015-09-29,Present
A_c3b2a1,298,2015-09-30,Present
A_3cdfde,298,2015-10-01,Present
A_344871,298,2015-10-02,Present
A_3554e8,298,2015-10-05,Present
A_fc5f5e,298,2015-10-06,Present
A_582488,298,2015-10-07,Present
A_4c3b72,298,2015-10-08,Present
A_26e2ae,298,2015-10-12,Present
A_712ce3,298,2015-10-13,Present
A_a45643,298,2015-10-14,Present
A_85f2e8,298,2015-10-15,Present
A_5aaa59,298,2015-10-16,Present
A_d57202,298,2015-10-19,Present
A_959302,298,2015-10-20,Tardy
A_2bea4c,298,2015-10-21,Present
A_f6bc16,298,2015-10-22,Present
A_416a0b,298,2015-10-23,Present
A_5b1893,298,2015-10-26,Present
A_2b6a39,298,2015-10-27,Present
A_306023,298,2015-10-28,Absent
A_d7348b,298,2015-10-29,Present
A_3018f1,298,2015-10-30,Present
A_60938b,298,2015-11-02,Present
A_05ad59,298,2015-11-03,Present
A_66d6fd,298,2015-11-04,Present
A_be253a,298,2015-11-05,Present
A_fb9e65,298,2015-11-06,Present
A_e76525,298,2015-11-09,Present
A_f08092,298,2015-11-10,Absent
A_f7594d,298,2015-11-11,Present
A_7cf49f,298,2015-11-12,Present
A_c142f5,298,2015-11-13,Present
A_262f44,298,2015-11-16,Present
A_2b21ff,298,2015-11-17,Present
A_96df2f,298,2015-11-18,Present
A_6b4786,298,2015-11-19,Present
A_9ed6ea,298,2015-11-20,Present
A_e98e26,298,2015-11-23,Present
A_c4083b,298,2015-11-24,Present
A_694977,298,2015-11-25,Present
A_996651,298,2015-11-30,Present
A_70b7e0,298,2015-12-01,Present
A_36ef02,298,2015-12-02,Present
