report_id,student_id,date,type,severity,action_taken,description
D_f3a0ab,143,2015-11-19,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_cf8eeb,143,2015-09-16,Physical Aggression,Severe,Suspension,"Pushed, hit, or physically harmed another student."
D_a4fe49,143,2015-11-24,Physical Aggression,Severe,Suspension,"Pushed, hit, or physically harmed another student."
D_220a0c,143,2015-09-14,Skipping Class,Moderate,Parent Meeting,Did not attend assigned class without excuse.
D_6cae8f,143,2015-11-24,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_5cb1cb,457,2015-11-04,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_52ed4d,457,2016-06-02,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_0dd082,369,2015-11-02,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_f1b1df,34,2016-01-07,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_c83136,34,2015-09-30,Defiance,Moderate,Detention,Refused to follow teacher directions.
D_eadf29,34,2016-02-23,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_0c8e05,34,2016-03-09,Tardiness,Minor,Warning,Arrived late without a valid excuse.
D_ea123d,34,2015-10-16,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_cac03d,431,2015-09-28,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_a56c09,431,2016-04-26,Physical Aggression,Severe,Suspension,"Pushed, hit, or physically harmed another student."
D_0221a7,431,2016-03-21,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_08bb53,315,2015-11-09,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_136d83,411,2016-04-26,Physical Aggression,Severe,Suspension,"Pushed, hit, or physically harmed another student."
D_418ce7,411,2015-11-09,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_740715,411,2016-06-01,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_2de5ce,411,2015-11-17,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_996824,60,2016-03-11,Tardiness,Minor,Warning,Arrived late without a valid excuse.
D_3883aa,60,2016-02-01,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_4367e7,462,2015-11-11,Tardiness,Minor,Warning,Arrived late without a valid excuse.
D_f7c0f7,462,2016-02-18,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_5d4a9e,462,2016-03-09,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_536b8e,448,2015-11-18,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_faf713,448,2016-04-20,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_326ebf,448,2015-12-03,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_8b0139,448,2016-01-07,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_b248eb,448,2015-12-09,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_79893c,181,2016-03-18,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_491a0c,181,2016-04-04,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_aaeee8,442,2016-03-03,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_1d5fc0,442,2015-08-25,Skipping Class,Moderate,Parent Meeting,Did not attend assigned class without excuse.
D_d63925,442,2015-11-05,Defiance,Moderate,Detention,Refused to follow teacher directions.
D_79c64a,442,2015-09-14,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_10d4c4,197,2016-01-14,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_b661a4,197,2015-12-07,Skipping Class,Moderate,Parent Meeting,Did not attend assigned class without excuse.
D_d17205,207,2016-02-29,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_1682a1,207,2016-04-25,Dress Code Violation,Minor,Parent Contact,Wore clothing not in line with dress policy.
D_4c8b61,378,2015-12-11,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
D_8bd825,378,2016-04-21,Defiance,Moderate,Detention,Refused to follow teacher directions.
D_2d9eda,378,2016-04-26,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_75766b,125,2015-10-19,Defiance,Moderate,Detention,Refused to follow teacher directions.
